routeId,Id,tripId,tripHeadsign,shapeId
82,896,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0620_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,4908
84,9470,NORMAL_84_Sangrun To Deccan Gymkhana_Down-0635_0,Sangrun To Deccan Gymkhana,2868
84B,9469,NORMAL_84B_Kothrud Stand To Sangrun_Up-0520_0,Kothrud Stand To Sangrun,2378
85,16197,NORMAL_85_Mohakarwadi To Ma Na Pa_Down-0705_0,Mohakarwadi To Ma Na Pa,3631
85A,16175,NORMAL_85A_Khothrud Stand To Mohakarwadi_Up-0615_0,Khothrud Stand To Mohakarwadi,3212
87,200,NORMAL_87_Sutarwadi Pashan To Deccan Gymkhana (Vai Bhagvatinagar)_Down-0815_0,Sutarwadi Pashan To Deccan Gymkhana (Vai Bhagvatinagar),3450
87C,206,NORMAL_87C_HMR Company To Deccan Gymkhana_Down-1710_0,HMR Company To Deccan Gymkhana,3006
87D,228,NORMAL_87D_Deccan Gymkhana To Sutarwadi Pashan (Vai Sai Chowk)_Up-0655_0,Deccan Gymkhana To Sutarwadi Pashan (Vai Sai Chowk),3139
87F,292,NORMAL_87F_Mhalunge Phata Balewadi To Deccan Gymkhana_Down-1445_0,Mhalunge Phata Balewadi To Deccan Gymkhana,4698
88,4654,NORMAL_88_Swargate To Hinjawadi Maan Phase 3_Up-0515_0,Swargate To Hinjawadi Maan Phase 3,4986
89,11090,NORMAL_89_Swargate To Niljyoti_Up-0550_0,Swargate To Niljyoti,3459
9,19528,NORMAL_9_Hadapsar Gadital To Uruli Railway Station_Up-1735_0,Hadapsar Gadital To Uruli Railway Station,2769
90,11130,NORMAL_90_Swargate To Gokhalenagar_Up-0530_0,Swargate To Gokhalenagar,3464
901_83,6486,NORMAL_901_Kondhwa (Sheetal Petrol Pump) To Pune Station Urdu Vidyaniketan shala 12_Up-0630_0,Kondhwa (Sheetal Petrol Pump) To Pune Station Urdu Vidyaniketan shala 12,4687
91,10901,NORMAL_91_Ishannagari To Ma Na Pa Congress Bhavan_Down-0850_0,Ishannagari To Ma Na Pa Congress Bhavan,4280
93,16873,NORMAL_93_Kothrud Depot To Deccan Gymkhana_Down-0435_0,Kothrud Depot To Deccan Gymkhana,3470
94,831,NORMAL_94_Kothrud Depot To Pune Station_Up-1230_0,Kothrud Depot To Pune Station,3632
97,7661,NORMAL_97_Warje Malwadi To Sahkarnagar_Up-0840_0,Warje Malwadi To Sahkarnagar,3473
AC2_45,7877,NORMAL_AC2_Nigdi To Hadapsar Gadital_Down-2010_0,Nigdi To Hadapsar Gadital,4384
HA_48,5077,NORMAL_HA_Pune Station To Pune Airport_Down-0630_0,Pune Station To Pune Airport,5029
RATRANI1,21335,NORMAL_RATRANI1_Katraj To Shivajinagar Night Service_Up-2240_0,Katraj To Shivajinagar Night Service,4557
RATRANI2,21358,NORMAL_RATRANI2_Katraj To Pune Station_Up-2300_0,Katraj To Pune Station,4561
RATRANI3,19908,NORMAL_RATRANI3_Hadapsar Gadital To Swargate_Down-2100_0,Hadapsar Gadital To Swargate,4568
RATRANI4,19928,NORMAL_RATRANI4_Hadapsar Gadital To Pune station_Up-2120_0,Hadapsar Gadital To Pune station,4565
RATRANI7,17098,NORMAL_RATRANI7_Pune station To Kondhwa gate_Up-2140_0,Pune station To Kondhwa gate,4665
RATRANI9,17013,NORMAL_RATRANI9_Pune station To Kesnand phata_Up-2315_0,Pune station To Kesnand phata,4573
VJR1,17497,NORMAL_VJR1_Dhayari Maruti Mandir To Hadapsar Gadital_Down-0555_0,Dhayari Maruti Mandir To Hadapsar Gadital,4365
VJR2_49,8432,NORMAL_VJR2_Warje Malwadi To Kesnand Phata_Up-0445_0,Warje Malwadi To Kesnand Phata,3357
VJR3,919,NORMAL_VJR3_Hadapsar Gadital To Kothrud Depot_Down-0530_0,Hadapsar Gadital To Kothrud Depot,3430
VJR4,1257,NORMAL_VJR4_Kothrud Depot To Vishrantwadi_Up-1020_0,Kothrud Depot To Vishrantwadi,3302
VJR5,9714,NORMAL_VJR5_Ma Na Pa To Mukai Chowk_Up-0610_0,Ma Na Pa To Mukai Chowk,3290
VJR6,11763,NORMAL_VJR6_Bhosari To Hinjawadi Maan Phase 3_Up-0530_0,Bhosari To Hinjawadi Maan Phase 3,3641
