routeId,Id,tripId,tripHeadsign,shapeId
21B,11952,NORMAL_21B_Swargate To HEMRL Company_Up-0805_0,Swargate To HEMRL Company,3720
22,609,NORMAL_22_Khandoba Mandir To Shivajinagar_Up-0615_0,Khandoba Mandir To Shivajinagar,2580
227,2775,NORMAL_227_Marketyard To Marnewadi_Up-0510_0,Marketyard To Marnewadi,4882
22A,608,NORMAL_22A_Swargate To Khandoba Mandir_Up-0545_0,Swargate To Khandoba Mandir,4431
230,15458,NORMAL_230_Bharati Vidyapeeth To Pune Station_Up-0545_0,Bharati Vidyapeeth To Pune Station,3679
233,2213,NORMAL_233_ST Stand Paud To Marketyard_Down-0610_0,ST Stand Paud To Marketyard,4877
234,10809,NORMAL_234_Ma Na Pa To Kharadi Gaon_Up-0530_0,Ma Na Pa To Kharadi Gaon,3185
235,12960,NORMAL_235_Katraj To Kharadi Gaon_Up-0520_0,Katraj To Kharadi Gaon,1120
236,4227,NORMAL_236_Ma Na Pa To Khulewadi_UP-0550_0,Ma Na Pa To Khulewadi,3177
237,12198,NORMAL_237_Warje Malwadi To Kharadi gaon_UP-0520_0,Warje Malwadi To Kharadi gaon,1080
24,4208,NORMAL_24_Katraj To Maharashtra Housing Board Samtanagar_Up-0520_0,Katraj To Maharashtra Housing Board Samtanagar,4473
252,12254,NORMAL_252_Ma Na Pa Bhavan To Charholi Gaon_Up-0530_0,Ma Na Pa Bhavan To Charholi Gaon,4705
253,13788,NORMAL_253_Upper Depot To Vidyanagar_Up-0520_0,Upper Depot To Vidyanagar,3327
255_49,17753,NORMAL_255_Sutarwadi Bus Stand To Pimplegurav_Up-0600_0,Sutarwadi Bus Stand To Pimplegurav,4218
256,13016,NORMAL_256_Balewadi Depot To Ma Na Pa_Down-0535_0,Balewadi Depot To Ma Na Pa,3951
257,8506,NORMAL_257_Alandi To Kesnand Phata via Markal_Down-0630_0,Alandi To Kesnand Phata via Markal,3239
26,21655,NORMAL_26_Dhankawadi To Shivajinagar_Up-0530_0,Dhankawadi To Shivajinagar,2315
264,15616,NORMAL_264_Bahulgaon To Ma Na Pa_Down-0715_0,Bahulgaon To Ma Na Pa,3718
27,21601,NORMAL_27_Bharati Vidyapeeth To Shivajinagar_Up-0550_0,Bharati Vidyapeeth To Shivajinagar,2400
275_12,17452,NORMAL_275_Kothrud Stand To Chinchwadgaon_Up-0545_0,Kothrud Stand To Chinchwadgaon,4162
276,7878,NORMAL_276_Warje Malawadi To Chinchwad Gaon Up_Up-0525_0,Warje Malawadi To Chinchwad Gaon Up,3285
277,2424,NORMAL_277_NDA 10 No Gate Bus Stand To Khadki Bazar_Up-0555_0,NDA 10 No Gate Bus Stand To Khadki Bazar,4895
277A,2423,NORMAL_277A_Kothrud Stand To Kondhwagate_Down-0525_0,Kothrud Stand To Kondhwagate,4026
279,15831,NORMAL_279_Khamboli To Deccan Gymkhana_Down-0700_0,Khamboli To Deccan Gymkhana,3992
279A,15830,NORMAL_279A_Kothrud Depo To Khamboli_Up-0535_0,Kothrud Depo To Khamboli,4089
28,5646,NORMAL_28_Katraj To Shivajinagar_Up-0550_0,Katraj To Shivajinagar,2630
281,15643,NORMAL_281_Warje Malwadi To Bhakti Shakti_Up-0530_0,Warje Malwadi To Bhakti Shakti,4746
282,15684,NORMAL_282_Warje Malwadi To Bhosari Terminal_Up-0555_0,Warje Malwadi To Bhosari Terminal,4748
283,5632,NORMAL_283_Kumbare Park To Pune Station_Up-0600_1,Kumbare Park To Pune Station,3687
284,15738,NORMAL_284_Kothrud Depot To Bhakti Shakti_Up-0555_0,Kothrud Depot To Bhakti Shakti,4750
29,472,NORMAL_29_Swargate To Alandi_Up-0745_0,Swargate To Alandi,3609
291,1667,NORMAL_291_Katraj To Hadapsar Gadital_Up-2215_0,Katraj To Hadapsar Gadital,4029
292,13082,NORMAL_292_Swargate To Kondhanpur_Up-0720_0,Swargate To Kondhanpur,4010
292A,13081,NORMAL_292A_Kalyangaon To Swargate_Down-0550_0,Kalyangaon To Swargate,3733
292B,13088,NORMAL_292B_Swargate To Rahatwadegaon_Up-1330_0,Swargate To Rahatwadegaon,3734
292C,13094,NORMAL_292C_Swargate To Avsarwadi_Up-0525_0,Swargate To Avsarwadi,3736
293,4513,NORMAL_293_Kapurhoal To Swargate_Down-0535_0,Kapurhoal To Swargate,4835
293A,13090,NORMAL_293A_Swargate To Kusgaon_Up-1630_0,Swargate To Kusgaon,2259
294,15939,NORMAL_294_Katraj To Khadakwasla To Katraj_Round-0630_0,Katraj To Khadakwasla To Katraj,4082
295,12405,NORMAL_295_Katraj To Narhegaon_Down-0540_0,Katraj To Narhegaon,5097
296,18840,NORMAL_296_Jambhulwadi To Shivajinagar_Up-0540_0,Jambhulwadi To Shivajinagar,4036
296A,18839,NORMAL_296A_Katraj To Jambhulwadi_Up-0520_0,Katraj To Jambhulwadi,3673
297,15955,NORMAL_297_Rajas Society To Shivajinagar_Up-0540_0,Rajas Society To Shivajinagar,3693
298,20553,NORMAL_298_Chinchwad Gaon To Katraj_Down-1440_0,Chinchwad Gaon To Katraj,3313
299,11009,NORMAL_299_Katraj To Bhosarigaon_Up-0600_0,Katraj To Bhosarigaon,4752
2D,5537,NORMAL_2D_Sachchai Mata Mandir To Katraj_Down-1215_0,Sachchai Mata Mandir To Katraj,3844
2H,1270,NORMAL_2H_Shivajinagar To Sachchai Mata Mandir_Up-1620_0,Shivajinagar To Sachchai Mata Mandir,3497
2I,1223,NORMAL_2I_Pune Vidhyapeeth To Katraj_Down-1030_0,Pune Vidhyapeeth To Katraj,3484
2J,8518,NORMAL_2J_Katraj To Bhilarewadi_Up-0620_0,Katraj To Bhilarewadi,3476
2L,8081,NORMAL_2L_Katraj To Narhegaon_Down-0610_0,Katraj To Narhegaon,3475
3,10252,NORMAL_3_Swargate To Pune Station_Up-0600_0,Swargate To Pune Station,2316
30,9354,NORMAL_30_Marketyard To Ghotawade Phata_Up-0500_0,Marketyard To Ghotawade Phata,2854
300_58,6416,NORMAL_300_Dhayari To kirkatwadi_Up-0615_0,Dhayari To kirkatwadi,4400
301,1010,NORMAL_301_Shewalwadi To Katraj_Down-0525_0,Shewalwadi To Katraj,4349
301A_82,21226,NORMAL_301A_Katraj To Hadapsar Gadital_Up-0600_0,Katraj To Hadapsar Gadital,4939
302,1524,NORMAL_302_Gavhanevasti Bhosari To Pimprigaon_Down-1155_0,Gavhanevasti Bhosari To Pimprigaon,4039
302A(New),1530,NORMAL_302A(New)_Alandi To Pimprigaon_Down-1720_0,Alandi To Pimprigaon,4041
302B,1534,NORMAL_302B_Pimprigaon To Bopkhel_Up-0615_0,Pimprigaon To Bopkhel,4050
302C,17710,NORMAL_302C_Gavhanevasti Bhosari To Nehrunagar Depo_Down-2015_0,Gavhanevasti Bhosari To Nehrunagar Depo,3681
302D,18772,NORMAL_302D_Pimprigaon To Nehrunagar Depo_Down-2110_0,Pimprigaon To Nehrunagar Depo,4437
303,1364,NORMAL_303_Nigdi To Akurdi Railway Station_Up-0945_0,Nigdi To Akurdi Railway Station,4013
304,998,NORMAL_304_Gavhanevasti Bhosari To Chinchwadgaon_Down-2120_0,Gavhanevasti Bhosari To Chinchwadgaon,4055
304A,17569,NORMAL_304A_Nehrunagar Depo To Bhosari_Up-0520_0,Nehrunagar Depo To Bhosari,4045
305,16054,NORMAL_305_Nigdi To Vadgaon Mawal_Up-1610_0,Nigdi To Vadgaon Mawal,4017
305B,4042,NORMAL_305B_Nigdi To Navlakh Umbre_Up-0550_0,Nigdi To Navlakh Umbre,3893
306,17021,NORMAL_306_Bhakti Shakti To Hinjawadi Maan Phase 3_Up-0545_0,Bhakti Shakti To Hinjawadi Maan Phase 3,5018
307,5854,NORMAL_307_Chinchwadgaon To Walhekarwadi_Up-0550_0,Chinchwadgaon To Walhekarwadi,4043
308,1720,NORMAL_308_Gharkul Vasahat Chikhli To Bhakti Shakti_Down-0930_0,Gharkul Vasahat Chikhli To Bhakti Shakti,3755
309,13679,NORMAL_309_Alandi To Dehugaon_Up-0545_0,Alandi To Dehugaon,3757
31,14198,NORMAL_31_Taljai Pathar To Pune Station_Up-0530_0,Taljai Pathar To Pune Station,2310
310,6553,NORMAL_310_Pune Station To Walhekarwadi_Up-0540_0,Pune Station To Walhekarwadi,4754
311,6573,NORMAL_311_Pune Station To Pimprigaon_Up-0600_0,Pune Station To Pimprigaon,4859
312,17591,NORMAL_312_Pune Station To Chinchwadgaon_Up-0450_0,Pune Station To Chinchwadgaon,4758
313,973,NORMAL_313_Pimpri Depot To Chinchwadgaon_Up-0510_0,Pimpri Depot To Chinchwadgaon,4328
313A,3777,NORMAL_313A_Chinchwadgaon To Kasarsai Karkhana_Up-1740_0,Chinchwadgaon To Kasarsai Karkhana,4066
314,10557,NORMAL_314_Bhakti Shakti To Mhalunge Gaon / Dwarka City Phata (Y Junction)_Up-0535_0,Bhakti Shakti To Mhalunge Gaon / Dwarka City Phata (Y Junction),4623
315,20753,NORMAL_315_Bhosari To Pune station via vishrantwadi_Down-0530_0,Bhosari To Pune station via vishrantwadi,4070
316,16413,NORMAL_316_Chinchwadgaon To Hinjawadi Maan Phase 3_Up-0845_0,Chinchwadgaon To Hinjawadi Maan Phase 3,3792
317,5263,NORMAL_317_Sambhajinagar To Pune Station_Down-0535_0,Sambhajinagar To Pune Station,4761
318,20792,NORMAL_318_Krishna nagar To Pune Station_Down-0600_0,Krishna nagar To Pune Station,3281
319,16424,NORMAL_319_Alandi To Vadgaon Mawal_Up-0645_0,Alandi To Vadgaon Mawal,3796
320,2831,NORMAL_320_Mahalungegaon To Alandi_Down-0600_0,Mahalungegaon To Alandi,4765
322,7301,NORMAL_322_Akurdi Railway Station To Ma Na Pa River Side_Down-0535_0,Akurdi Railway Station To Ma Na Pa River Side,5134
323,16070,NORMAL_323_Ma Na Pa To Chikhali_Up-1535_0,Ma Na Pa To Chikhali,4766
323B,20812,NORMAL_323B_Nehrunagar Depo To Chikhali_Up-0535_0,Nehrunagar Depo To Chikhali,3963
324,12988,NORMAL_324_Bhosari To Hinjawadi Maan Phase 3_Up-0540_0,Bhosari To Hinjawadi Maan Phase 3,3659
325,16548,NORMAL_325_Pune Station To Masulkar Colony_Up-0750_0,Pune Station To Masulkar Colony,4770
326,8951,NORMAL_326_Pimprigaon To Chikhali_Up-0530_0,Pimprigaon To Chikhali,3973
326A,8970,NORMAL_326A_Chikhali To Nehrunagar Depo_Down-2100_0,Chikhali To Nehrunagar Depo,3972
327,4074,NORMAL_327_Hinjawadi Maan Phase 3 To Alandi_Down-0605_0,Hinjawadi Maan Phase 3 To Alandi,4911
327A,16412,NORMAL_327A_Nehrunagar Depo To Hinjawadi Maan Phase 3_Up-0820_0,Nehrunagar Depo To Hinjawadi Maan Phase 3,3984
327C,18829,NORMAL_327C_Nehrunagar Depo To Alandi_Up-0545_0,Nehrunagar Depo To Alandi,3978
328_29,5581,NORMAL_328_Nigdi To Rupeenagar_Up-1430_0,Nigdi To Rupeenagar,4433
329,7672,NORMAL_329_Nigdi To Dehugaon Via Dehuroad_Up-0520_0,Nigdi To Dehugaon Via Dehuroad,5176
33,9410,NORMAL_33_Taljai Pathar To Na Ta Wadi_Up-0620_0,Taljai Pathar To Na Ta Wadi,2275
330_52,5964,NORMAL_330_Akurdi Railway Station To Chikhali_Up-0540_0,Akurdi Railway Station To Chikhali,4878
331,9118,NORMAL_331_Bhosari To Rahatnigaon_Up-0715_0,Bhosari To Rahatnigaon,3851
331C,16586,NORMAL_331C_Nehrunagar Depo To Rahatnigaon_Up-0620_0,Nehrunagar Depo To Rahatnigaon,3855
331D,16572,NORMAL_331D_Charholigaon To Nehrunagar Depo_Up-0620_0,Charholigaon To Nehrunagar Depo,3853
332,16846,NORMAL_332_Pimpri To Pune Station_Down-0555_0,Pimpri To Pune Station,2779
333,638,NORMAL_333_Hinjawadi Maan Phase 3 To Pune Station_Down-1515_0,Hinjawadi Maan Phase 3 To Pune Station,4429
334,6011,NORMAL_334_Gharkul Vasahat Chikhali To Pimprigaon_Down-0630_0,Gharkul Vasahat Chikhali To Pimprigaon,3827
335,1557,NORMAL_335_Jambe To Nehrunagar Depot_Down-2115_0,Jambe To Nehrunagar Depot,3869
335A,1555,NORMAL_335A_Jambe To Dange Chowk_Down-1820_0,Jambe To Dange Chowk,3867
336,7113,NORMAL_336_Pimpri Depot To Bhakti Shakti_Up-0515_0,Pimpri Depot To Bhakti Shakti,5057
337,3334,NORMAL_337_Bhakti Shakti To Dhayari Maruti Mandir_Down-0500_0,Bhakti Shakti To Dhayari Maruti Mandir,5000
338,1000,NORMAL_338_Sawtamali Mandir Chikhli To Ma Na Pa Main Bus Stand_Down-2115_0,Sawtamali Mandir Chikhli To Ma Na Pa Main Bus Stand,4928
339,16896,NORMAL_339_Santnagar MIDC Police Station To Katraj_Down-0545_0,Santnagar MIDC Police Station To Katraj,4781
340_83,5220,NORMAL_340_Nigdi To Alandi_Up-0530_0,Nigdi To Alandi,5238
341,9929,NORMAL_341_Mohannagar to Ma Na Pa_Down-0715_0,Mohannagar to Ma Na Pa,3307
342_85,19847,NORMAL_342_Pimpri Depot To Dange Chowk Vai Telco Road_Up-0730_0,Pimpri Depot To Dange Chowk Vai Telco Road,4272
343_86,11969,NORMAL_343_Vadgaon Mawal To Chakan Ambethan Chowk_Up-0615_0,Vadgaon Mawal To Chakan Ambethan Chowk,4153
344,16629,NORMAL_344_Alandi To Pimple Nilakh_Up-0610_0,Alandi To Pimple Nilakh,3903
345,9945,NORMAL_345_Nigdi To Thergaon_Down-0530_0,Nigdi To Thergaon,4283
346_89,17218,NORMAL_346_Bhosari To Wagholi_Down-0805_0,Bhosari To Wagholi,4415
347,16654,NORMAL_347_Dapodi To Alandi_Down-0600_0,Dapodi To Alandi,3995
348,16092,NORMAL_348_Nigdi To Pune Station_Down-1420_0,Nigdi To Pune Station,4785
350,17669,NORMAL_350_Nigdi To Dehugaon Via Talwade_Up-0530_0,Nigdi To Dehugaon Via Talwade,5171
350B,20833,NORMAL_350B_Bhakti Shakti To Pimprigaon_Down-0635_0,Bhakti Shakti To Pimprigaon,3686
351,1442,NORMAL_351_Jambe To Alandi_Down-1600_0,Jambe To Alandi,4916
354,9315,NORMAL_354_Pimprigaon To Marketyard_Down-0530_0,Pimprigaon To Marketyard,3998
355,20813,NORMAL_355_Chikhali To Dange Chowk_Down-0605_0,Chikhali To Dange Chowk,4902
357,21417,NORMAL_357_Bhosari Terminal To Pune Station_Down-0455_0,Bhosari Terminal To Pune Station,5151
358,1642,NORMAL_358_Bhosari To Rajgurunagar_Up-0440_0,Bhosari To Rajgurunagar,3817
359_24,4950,NORMAL_359_Bhosari PMT Chowk To Nirgudigaon Via Charholi Phata_Down-0545_0,Bhosari PMT Chowk To Nirgudigaon Via Charholi Phata,5193
360,19689,NORMAL_360_Mhalungegaon To Alandi Via Balewadi_Down-0550_0,Mhalungegaon To Alandi Via Balewadi,5114
361,8505,NORMAL_361_Bhosari Terminal To Alandi_Down-0600_0,Bhosari Terminal To Alandi,3911
362,1002,NORMAL_362_YCM Hospital To Alandi_Down-0620_0,YCM Hospital To Alandi,4003
362A,954,NORMAL_362A_Alandi To YCM Hospital (Via Moshi)_Down-0700_0,Alandi To YCM Hospital (Via Moshi),4006
363,7535,NORMAL_363_Nigdi To Adarshnagar_Up-0605_0,Nigdi To Adarshnagar,3958
363A,6389,NORMAL_363A_Kiwalegaon To Nigdi_Down-0950_0,Kiwalegaon To Nigdi,3957
365_51,8265,NORMAL_365_Hinjawadi Maan Phase 3 To Vadgaon Mawal_Up-0635_0,Hinjawadi Maan Phase 3 To Vadgaon Mawal,4448
366,3,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-1750_0,Pune Station To Bhakti Shakti (Via Yerwada),4794
367,197,NORMAL_367_Nigdi To Gavhanevasti Bhosari_Up-1515_0,Nigdi To Gavhanevasti Bhosari,3921
367C,264,NORMAL_367C_Akurdi Railway Station To Bhosari_Down-1720_0,Akurdi Railway Station To Bhosari,4460
368_54,984,NORMAL_368_Nigdi To Kamshet_Up-0510_0,Nigdi To Kamshet,4934
369_55,16791,NORMAL_369_Bhakti Shakti To Bhamchandra Vidhyalay Vasuli_Up-0610_0,Bhakti Shakti To Bhamchandra Vidhyalay Vasuli,4222
36_47,20625,NORMAL_36_Ma Na Pa To Chinchwadgaon_Up-0530_0,Ma Na Pa To Chinchwadgaon,3306
37,6293,NORMAL_37_Na Ta Wadi To Sahkarnagar_Down-0610_0,Na Ta Wadi To Sahkarnagar,2930
371_78,15971,NORMAL_371_Nigdi To Pimprigaon_Down-0545_0,Nigdi To Pimprigaon,4450
